date,symbol,dte_range,cur_price,avg_iv,atm_call_iv,atm_put_iv,skew,iv_hv_diff,iv_30d,iv_45d,iv_60d,iv_term_slope,hv10,hv20,hv60,avg_delta,avg_gamma,avg_theta,avg_vega,avg_rho,gex,gex_call,gex_put,pcr_oi,pcr_vol,call_oi,put_oi,max_pain,pain_diff,rsi14,beta,week52_pos,vol_ratio,ret_1d,ret_5d,ret_20d,atr14,ma20,ma50,ma200,price_vs_ma200,golden_cross,days_to_earn,sample_count
2026-06-11,MMM,30-45,156.39,0.3238,0.3423,0.3052,-0.0371,0.087,0.3878,0.3983,,,0.1732,0.2368,0.2486,0.5023,0.01254,-0.054271,0.121757,-0.010727,,,,0.4889,1.6793,135,66,120.0,23.27,70.16,1.095,50.37,1.91,1.65,2.28,9.67,,150.93,147.93,156.17,0.14,0.0,40.0,12
2026-06-11,AOS,30-45,59.23,0.5509,,,,0.2983,,,,,0.2358,0.2526,0.2872,,0.028237,-0.022919,0.036919,-0.014738,,,,,0.4308,0,0,40.0,32.47,69.43,1.175,14.24,1.2,3.31,4.35,1.21,,57.18,60.89,67.4,-12.12,0.0,49.0,16
2026-06-11,ABT,30-45,91.25,0.341,0.3154,0.3602,0.0448,0.0848,0.3332,0.3652,,,0.2719,0.2562,0.2715,0.5113,0.027266,-0.037956,0.085751,-0.010072,,,,,0.8141,0,0,60.0,34.25,59.44,0.62,16.47,1.01,0.83,4.92,10.53,,87.37,91.87,114.1,-20.03,0.0,35.0,14
2026-06-11,ABBV,30-45,225.42,0.2802,0.2653,0.2951,0.0298,0.0556,0.4206,0.4166,,,0.2663,0.2246,0.2585,0.4965,0.007702,-0.063596,0.144799,-0.016506,,,,3.3333,0.6674,3,10,105.0,53.42,64.77,0.309,78.61,0.77,1.05,4.65,11.16,,215.71,209.79,217.44,3.67,0.0,49.0,6
2026-06-11,ACN,30-45,173.47,0.552,0.5336,0.5705,0.0369,0.046,0.6583,0.6222,,,0.5466,0.506,0.4229,0.4972,0.00736,-0.101709,0.137482,-0.040655,,,,,1.6197,0,0,90.0,48.12,46.93,1.069,8.9,0.58,-0.55,-6.85,0.65,,176.85,182.79,227.89,-23.88,0.0,7.0,12
2026-06-11,ADBE,30-45,237.88,0.5469,0.5408,0.5523,0.0115,0.0479,0.6576,0.6149,,,0.609,0.499,0.425,0.5052,0.004763,-0.122259,0.166139,-0.049831,,,,7.413,0.457,46,341,175.0,26.43,40.93,1.404,6.65,0.91,-2.9,-9.24,-3.36,,248.94,246.28,300.46,-20.83,0.0,0.0,17
2026-06-11,AMD,30-45,475.51,0.764,0.6579,0.8449,0.187,0.0354,0.7974,0.7953,,,0.7866,0.7286,0.7482,0.5009,0.00221,-0.396863,0.409958,-0.100319,,,,,0.4724,0,0,100.0,78.97,61.13,2.492,84.28,0.87,-3.02,-8.83,3.64,,476.53,369.93,249.16,90.85,1.0,54.0,37
2026-06-11,AES,30-45,14.66,0.6742,,0.6742,,0.6216,0.6498,0.5141,,,0.0376,0.0526,0.0501,0.5727,0.149441,-0.004303,0.00941,-0.005459,,,,,0.0797,0,0,2.0,86.36,58.82,0.946,67.51,0.83,-0.34,-0.14,2.16,,14.63,14.4,14.02,4.56,1.0,49.0,2
2026-06-11,AFL,30-45,115.61,0.2055,0.2115,0.1996,-0.0119,0.0127,0.2548,0.2336,,,0.2519,0.1928,0.1739,0.5013,0.029854,-0.029018,0.104966,-0.011017,,,,,0.1918,0,0,60.0,48.1,43.35,0.61,88.15,0.66,0.32,1.74,0.63,,115.63,113.76,110.05,5.05,1.0,56.0,8
2026-06-11,A,30-45,135.48,0.3193,0.3029,0.3356,0.0327,-0.2639,,,,,0.8094,0.5832,0.4267,0.4957,0.013156,-0.042715,0.084365,-0.036632,,,,,1.6448,0,1,65.0,52.02,82.66,1.256,54.73,0.44,2.1,0.32,21.55,,123.45,119.14,129.82,4.36,0.0,76.0,2
