date,vix_close,vix_ret1d,vix_ret5d,vix9d_close,vix9d_ret1d,vix9d_ret5d,vix3m_close,vix3m_ret1d,vix3m_ret5d,spy_close,spy_ret1d,spy_ret5d,qqq_close,qqq_ret1d,qqq_ret5d,iwm_close,iwm_ret1d,iwm_ret5d,tlt_close,tlt_ret1d,tlt_ret5d,tnx_close,tnx_ret1d,tnx_ret5d,uup_close,uup_ret1d,uup_ret5d,gld_close,gld_ret1d,gld_ret5d,vix_term_spread,vix_backwardation,vix_above20,vix_above30,spy_golden_cross,spy_price_vs_ma200,spy_pcr_vol,spy_gex_call,spy_gex_put,spy_gex,qqq_gex_call,qqq_gex_put,qqq_gex,iwm_gex_call,iwm_gex_put,iwm_gex,sec_tech_ret1d,sec_tech_ret5d,sec_fin_ret1d,sec_fin_ret5d,sec_health_ret1d,sec_health_ret5d,sec_energy_ret1d,sec_energy_ret5d,sec_indus_ret1d,sec_indus_ret5d,sec_cons_disc_ret1d,sec_cons_disc_ret5d,sec_cons_stap_ret1d,sec_cons_stap_ret5d,sec_util_ret1d,sec_util_ret5d,sec_material_ret1d,sec_material_ret5d,sec_realestate_ret1d,sec_realestate_ret5d,sec_comm_ret1d,sec_comm_ret5d
2026-07-01,16.59,0.85,-10.95,13.14,-21.79,-19.34,19.16,-4.82,-3.04,745.76,-0.14,1.71,725.17,-1.52,2.05,299.32,-0.38,0.89,85.52,-1.04,-2.13,4.475,2.36,-0.75,28.49,0.28,-0.14,370.6,0.6,1.28,6.02,0,0,0,1,8.35,1.0095,11069114.9,13030172.98,-1961058.08,2771457.07,4887176.01,-2115718.94,300732.33,1126574.06,-825841.73,-2.57,1.4,2.18,1.97,0.55,4.04,-0.56,-1.42,-1.01,1.75,0.69,2.62,0.28,-1.35,-1.26,-1.69,0.37,-0.27,0.34,-0.74,2.44,3.0
2026-07-02,16.15,-2.65,-14.51,12.37,-26.37,-24.06,19.04,-5.41,-3.64,744.78,-0.13,1.43,712.6,-1.73,-0.53,297.58,-0.58,-0.44,85.51,-0.01,-1.74,4.485,2.58,-0.53,28.34,-0.53,-0.49,378.13,2.03,2.35,6.67,0,0,0,1,8.14,0.9424,750436.04,969354.52,-218918.48,232023.92,245845.69,-13821.77,101779.11,174393.71,-72614.61,-2.71,-2.16,1.53,4.06,2.63,5.21,0.78,-1.61,0.3,-0.11,-0.82,3.33,2.03,1.25,2.21,-0.2,1.94,0.33,1.13,0.2,-0.13,3.81
2026-07-06,15.57,-3.59,-15.43,12.32,-0.4,-26.67,18.78,-1.37,-6.71,751.28,0.87,3.06,722.82,1.43,2.31,298.9,0.44,-0.31,85.45,-0.07,-1.83,4.479,-0.13,2.45,28.32,-0.07,-0.49,382.13,1.06,2.27,6.46,0,0,0,1,9.0,1.0238,1032090.12,1163225.59,-131135.47,438735.3,467165.43,-28430.14,195145.41,217590.16,-22444.75,1.65,1.36,0.93,4.8,-1.09,1.01,-0.17,-1.32,0.9,2.41,0.76,3.18,-1.05,-0.72,-1.01,-1.95,-0.06,0.74,-0.87,-2.1,0.56,3.8
2026-07-07,16.13,3.6,-8.61,13.42,8.49,-20.12,19.01,-0.16,-5.56,747.71,-0.48,0.91,709.43,-1.85,-2.02,296.19,-0.91,-0.93,84.55,-1.05,-2.96,4.529,0.98,3.59,28.4,0.28,0.11,377.49,-1.21,2.42,5.59,0,0,0,1,8.41,1.1328,16125942.88,22564610.08,-6438667.2,5120403.86,11056710.76,-5936306.9,1964234.9,3413800.19,-1449565.29,-2.39,-3.36,-0.16,4.34,1.53,2.3,2.84,1.98,-1.71,-0.21,-0.53,0.23,0.9,0.58,0.88,-0.7,-0.9,1.68,1.35,-0.07,0.73,2.91
2026-07-08,16.9,4.77,2.74,12.37,-5.86,-30.97,19.04,-0.63,-6.35,745.4,-0.31,-0.18,711.44,0.28,-3.39,293.48,-0.91,-2.32,84.36,-0.22,-2.02,4.569,0.88,4.46,28.36,-0.14,-0.18,374.45,-0.81,1.65,6.67,0,0,0,1,8.0,1.279,17472578.06,24439825.15,-6967247.1,5780853.77,10965045.41,-5184191.64,2130691.14,3926254.06,-1795562.92,1.24,-4.79,-1.93,2.54,-1.3,2.29,1.76,4.69,-1.07,-2.6,-1.78,-1.69,-0.55,1.59,-0.74,0.04,-2.62,-1.32,-1.65,0.27,-1.41,2.17
2026-07-09,15.84,-6.27,-4.52,12.5,1.05,-25.6,18.99,-0.26,-5.66,751.71,0.85,0.8,723.28,1.66,-0.26,297.24,1.28,-0.69,84.49,0.15,-1.2,4.539,-0.66,2.74,28.36,0.0,-0.46,378.18,1.0,2.05,6.49,0,0,0,1,8.84,0.9959,17456348.98,21534944.27,-4078595.29,6152758.44,10268159.13,-4115400.69,2275311.52,3293012.6,-1017701.08,2.18,-0.15,1.04,1.39,-0.08,1.65,-1.4,3.81,0.38,-1.23,1.34,-1.05,-1.41,-0.12,-0.51,0.8,0.2,-1.49,0.18,0.11,0.96,0.7
2026-07-10,15.03,-5.11,-6.93,11.15,-9.86,-33.63,18.57,-2.47,-7.75,754.95,0.43,1.37,725.51,0.31,1.81,295.99,-0.42,-0.53,84.47,-0.02,-1.22,4.569,0.66,2.1,28.39,0.11,0.18,377.01,-0.31,-0.3,7.42,0,0,0,1,9.24,1.0972,18655230.9,21746545.24,-3091314.34,7010142.72,10434488.15,-3424345.43,2411704.09,3946421.82,-1534717.73,0.23,2.87,0.31,0.16,-0.82,-1.77,0.47,3.49,0.45,-1.08,0.33,0.1,1.11,-1.02,0.62,-0.76,1.25,-2.15,0.5,-0.51,1.02,1.86
2026-07-13,17.16,14.17,10.21,15.13,35.7,22.81,19.64,5.76,4.58,749.17,-0.77,-0.28,711.74,-1.9,-1.53,293.48,-0.85,-1.81,83.97,-0.59,-1.73,4.609,0.88,2.9,28.5,0.39,0.64,367.13,-2.62,-3.93,4.51,0,0,0,1,8.33,1.2109,18155458.05,24911167.62,-6755709.57,6412814.84,12267261.21,-5854446.37,2344242.78,4309225.8,-1964983.01,-2.42,-1.25,0.65,-0.12,0.35,-0.34,3.01,6.79,-0.85,-2.8,-1.02,-1.67,0.56,0.58,0.68,0.93,-0.61,-2.69,0.56,0.93,-0.04,1.25
2026-07-14,16.5,-3.85,2.29,13.46,20.72,9.25,19.3,3.93,2.77,751.83,0.36,0.55,719.71,1.12,1.45,294.51,0.35,-0.57,84.08,0.13,-0.56,4.585,-0.52,1.24,28.39,-0.39,-0.04,372.15,1.37,-1.41,5.84,0,0,0,1,8.64,0.887,20195129.14,26355241.25,-6160112.12,8040172.81,11207619.64,-3167446.83,2556254.13,4446229.85,-1889975.72,1.29,2.48,0.2,0.23,-1.93,-3.74,0.37,4.23,0.04,-1.06,-0.12,-1.27,-1.38,-1.7,-0.07,-0.02,0.12,-1.69,-0.49,-0.91,-0.13,0.39
2026-07-15,15.67,-5.03,-7.28,12.06,8.16,-2.11,18.91,1.83,0.69,754.81,0.4,1.26,717.74,-0.27,0.89,295.77,0.43,0.78,84.24,0.19,-0.14,4.545,-0.87,-0.53,28.25,-0.49,-0.39,372.35,0.05,-0.56,6.85,0,0,0,1,8.99,0.9891,22231342.74,26702120.62,-4470777.88,8587922.39,12998697.35,-4410774.96,2972644.97,5839744.39,-2867099.43,-1.11,0.1,0.68,2.89,0.0,-2.47,-0.79,1.62,-0.22,-0.2,0.95,1.47,0.06,-1.09,-1.03,-0.31,-0.28,0.68,0.18,0.93,1.73,3.58
